Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,40.910816,41.271347,40.455406,41.034157,36.581043,26430315
2019-01-03,41.024670,41.119545,39.800758,39.886147,35.557625,28503533
2019-01-04,40.265656,41.129032,40.094875,40.796963,36.369591,27145348
2019-01-07,40.863377,41.385201,40.664139,41.015179,36.564133,20995469
2019-01-08,41.328274,41.461102,40.939278,41.204933,36.733288,19677231
2019-01-09,41.233398,41.432636,40.986717,41.119545,36.657162,20107580
2019-01-10,41.005692,41.015179,39.876659,40.142315,35.785992,39731162
2019-01-11,40.161289,40.683113,39.990513,40.683113,36.268097,21064506
2019-01-14,40.370018,40.445919,40.009487,40.199242,35.836742,17605173
2019-01-15,40.417458,41.024670,40.256168,40.540798,36.141228,25865371
2019-01-16,40.407970,40.597721,39.876659,39.952560,35.616829,30169380
2019-01-17,39.800758,40.474384,39.686909,40.294117,35.921318,24177284
2019-01-18,40.664139,40.683113,40.094875,40.351044,35.972061,38618455
2019-01-22,40.237190,40.502846,39.781784,40.104362,35.752151,29444122
2019-01-23,39.838711,40.037952,39.421253,40.000000,35.659122,24462813
2019-01-24,39.639469,39.648956,38.538898,38.851994,34.635693,34394023
2019-01-25,38.994308,39.136623,38.434536,38.557877,34.373497,35862455
2019-01-28,38.425049,38.453510,37.457306,37.504745,33.434654,39329694
2019-01-29,37.476280,38.757114,37.447819,38.681213,34.483448,51376808
2019-01-30,38.681213,39.611008,38.643265,39.449715,35.168552,36067880
2019-01-31,39.259960,40.436432,39.231499,40.275143,36.217972,40927452
2019-02-01,40.673622,40.910816,40.370018,40.683113,36.584846,27239681
2019-02-04,40.645161,40.645161,39.810246,40.265656,36.209446,19426485
2019-02-05,40.256168,40.540798,39.905125,39.952560,35.927887,21127641
2019-02-06,39.772297,40.199242,39.648956,40.161289,36.115593,16450410
2019-02-07,39.952560,39.990513,39.098671,39.563568,35.578079,24248008
2019-02-08,39.402279,40.075901,39.364326,40.066414,36.030273,27500125
2019-02-11,40.113853,40.142315,39.383301,39.544594,35.561028,27102134
2019-02-12,39.573055,39.857685,39.269451,39.724857,35.723122,30540177
