Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,2476.96,2519.49,2467.47,2510.03,2510.03,3733160000
2019-01-03,2491.92,2493.14,2443.96,2447.89,2447.89,3822860000
2019-01-04,2474.33,2538.07,2474.33,2531.94,2531.94,4213410000
2019-01-07,2535.61,2566.16,2524.56,2549.69,2549.69,4104710000
2019-01-08,2568.11,2579.82,2547.56,2574.41,2574.41,4083030000
2019-01-09,2580,2595.32,2568.89,2584.96,2584.96,4052480000
2019-01-10,2573.51,2597.82,2562.02,2596.64,2596.64,3704500000
2019-01-11,2588.11,2596.27,2577.4,2596.26,2596.26,3434490000
2019-01-14,2580.31,2589.32,2570.41,2582.61,2582.61,3664450000
2019-01-15,2585.1,2613.08,2585.1,2610.3,2610.3,3572330000
2019-01-16,2614.75,2625.76,2612.68,2616.1,2616.1,3863770000
2019-01-17,2609.28,2645.06,2606.36,2635.96,2635.96,3772270000
2019-01-18,2651.27,2675.47,2647.58,2670.71,2670.71,3986730000
2019-01-22,2657.88,2657.88,2617.27,2632.9,2632.9,3908030000
2019-01-23,2643.48,2653.19,2612.86,2638.7,2638.7,3335610000
2019-01-24,2638.84,2647.2,2627.01,2642.33,2642.33,3433250000
2019-01-25,2657.44,2672.38,2657.33,2664.76,2664.76,3814080000
2019-01-28,2644.97,2644.97,2624.06,2643.85,2643.85,3612810000
2019-01-29,2644.89,2650.93,2631.05,2640,2640,3504200000
2019-01-30,2653.62,2690.44,2648.34,2681.05,2681.05,3867810000
2019-01-31,2685.49,2708.95,2678.65,2704.1,2704.1,4917650000
2019-02-01,2702.32,2716.66,2696.88,2706.53,2706.53,3759270000
2019-02-04,2706.49,2724.99,2698.75,2724.87,2724.87,3359840000
2019-02-05,2728.34,2738.98,2724.03,2737.7,2737.7,3560430000
2019-02-06,2735.05,2738.08,2724.15,2731.61,2731.61,3472690000
2019-02-07,2717.53,2719.32,2687.26,2706.05,2706.05,4099490000
2019-02-08,2692.36,2708.07,2681.83,2707.88,2707.88,3622330000
2019-02-11,2712.4,2718.05,2703.79,2709.8,2709.8,3361970000
2019-02-12,2722.61,2748.19,2722.61,2744.73,2744.73,3827770000
2019-02-13,2750.3,2761.85,2748.63,2753.03,2753.03,3670770000
2019-02-14,2743.5,2757.9,2731.23,2745.73,2745.73,3836700000
2019-02-15,2760.24,2775.66,2760.24,2775.6,2775.6,3641370000
2019-02-19,2769.28,2787.33,2767.29,2779.76,2779.76,3533710000
2019-02-20,2779.05,2789.88,2774.06,2784.7,2784.7,3835450000
2019-02-21,2780.24,2781.58,2764.55,2774.88,2774.88,3559710000
2019-02-22,2780.67,2794.2,2779.11,2792.67,2792.67,3427810000
2019-02-25,2804.35,2813.49,2794.99,2796.11,2796.11,3804380000
2019-02-26,2792.36,2803.12,2789.47,2793.9,2793.9,3645680000
2019-02-27,2787.5,2795.76,2775.13,2792.38,2792.38,3767130000
2019-02-28,2788.11,2793.73,2782.51,2784.49,2784.49,4396930000
2019-03-01,2798.22,2808.02,2787.38,2803.69,2803.69,3972280000
